#"Progress (%)","Step","Potential Energy (kJ/mole)","Temperature (K)","Density (g/mL)","Speed (ns/day)"
2.0%,100,-119634.73181500168,100.72704181321019,0.938489926273168,0
4.0%,200,-114849.23363750652,165.51592937082876,0.938489926273168,99.2
6.0%,300,-111601.95143536259,206.12334338213154,0.938489926273168,92.9
8.0%,400,-109432.28288308084,237.1452418427459,0.938489926273168,92.1
10.0%,500,-107325.83774823051,253.11360864169035,0.938489926273168,92.3
12.0%,600,-106107.83532566727,266.2103435981876,0.938489926273168,91.9
14.0%,700,-104930.0778595632,274.08470770704224,0.938489926273168,91.4
16.0%,800,-104372.83756437764,285.91963293172535,0.938489926273168,91.2
18.0%,900,-103117.14510620912,284.30744648931005,0.938489926273168,91
20.0%,1000,-102468.13808729689,285.17190898048636,0.938489926273168,91
22.0%,1100,-102485.82312550728,297.4214452394341,0.938489926273168,91.1
24.0%,1200,-101661.10799513887,290.1933937376569,0.938489926273168,91
26.0%,1300,-101439.27443791226,289.84153918606813,0.938489926273168,90.9
28.0%,1400,-101356.80675450347,294.84419234506674,0.938489926273168,90.7
30.0%,1500,-100794.72540609131,294.596660967963,0.938489926273168,90.8
32.0%,1600,-100396.06177824481,296.9236600997492,0.938489926273168,90.7
34.0%,1700,-100654.82801529797,304.13708161269705,0.938489926273168,90.6
36.0%,1800,-100178.38993942893,299.32707511322405,0.938489926273168,90.6
38.0%,1900,-100515.60543867035,305.7595336462992,0.938489926273168,90.6
40.0%,2000,-100077.28252806264,298.6685912318492,0.938489926273168,90.5
42.0%,2100,-100379.25456156107,304.0184718445263,0.938489926273168,90.4
44.0%,2200,-100509.11759183342,307.2264356742613,0.938489926273168,90.3
46.0%,2300,-99998.04808037644,298.50481350193854,0.938489926273168,90.3
48.0%,2400,-100467.62193677596,302.8196312393461,0.938489926273168,90.1
50.0%,2500,-100392.09822533793,303.85806310729004,0.938489926273168,90
52.0%,2600,-100320.24086648888,298.4486635039923,0.938489926273168,89.7
54.0%,2700,-100314.32471788573,300.5909912316526,0.938489926273168,89.7
56.0%,2800,-100263.95368585302,295.3410079106594,0.938489926273168,89.7
58.0%,2900,-100731.40075843796,300.071452192425,0.938489926273168,89.6
60.0%,3000,-100483.17004997011,301.7002600476428,0.938489926273168,89.6
62.0%,3100,-100453.82448867423,301.31290782686045,0.938489926273168,89.6
64.0%,3200,-100474.36729447238,298.02103302165943,0.938489926273168,89.5
66.0%,3300,-100384.45323012947,303.20563230253094,0.938489926273168,89.5
68.0%,3400,-100671.53223464878,306.1762082225881,0.938489926273168,89.4
70.0%,3500,-100814.22102753239,303.7815890655587,0.938489926273168,89.4
72.0%,3600,-101007.82088334703,301.9584931780522,0.938489926273168,89.3
74.0%,3700,-100357.85104327105,306.75605957883346,0.938489926273168,89.2
76.0%,3800,-100394.807367404,300.67509377578426,0.938489926273168,89.2
78.0%,3900,-100735.95404600336,308.0058491210271,0.938489926273168,89.2
80.0%,4000,-99975.25024065796,297.1340156123679,0.938489926273168,89.1
82.0%,4100,-100454.2511551647,297.6357737671698,0.938489926273168,89.1
84.0%,4200,-100848.23779956241,301.73361034398187,0.938489926273168,89.1
86.0%,4300,-100686.17925298931,299.67528819848746,0.938489926273168,89
88.0%,4400,-100686.40038981126,300.11338636745336,0.938489926273168,89
90.0%,4500,-100879.70888094661,306.7347662283313,0.938489926273168,88.9
92.0%,4600,-100463.0093358976,298.5996627935468,0.938489926273168,88.9
94.0%,4700,-100149.17737028837,298.7648857287071,0.938489926273168,88.8
96.0%,4800,-100440.12910271481,298.9424878187359,0.938489926273168,88.8
98.0%,4900,-100884.29076261428,302.8214469718725,0.938489926273168,88.8
100.0%,5000,-100872.75181681669,304.0511236385408,0.938489926273168,88.7
